Date,MV,SV,VAR,DIA
2017-11-15,4652693.973309052,4650158.417433987,4901367.306907932,3106547.5396719566
2017-11-16,4685568.401187365,4682992.881770359,4935175.34501284,3132551.006800907
2017-11-17,4656441.333916601,4653798.031973697,4905680.3924672585,3112281.6375516737
2017-11-20,4670311.070720505,4667485.4231004035,4920904.570867769,3122416.3221762907
2017-11-21,4712071.718500017,4709165.259255158,4966156.714784547,3143485.7981064143
2017-11-22,4695318.948168203,4692441.511436444,4946625.638906104,3136018.1357514337
2017-11-24,4710100.469353794,4707251.4417682905,4960991.0826689135,3140018.669155888
2017-11-27,4709119.959521079,4706163.902143651,4962660.949734543,3143485.7981064143
2017-11-28,4771846.179071533,4768916.009550257,5030165.450616601,3178290.4387251637
2017-11-29,4827543.068484043,4824800.3289785385,5085697.564286642,3192692.3589811977
2017-11-30,4916054.675131904,4913235.318585452,5179667.845427168,3238298.4397919727
2017-12-01,4893363.416030999,4890591.167860161,5159452.850269474,3233097.7463661823
2017-12-04,4850492.967073438,4847091.304185684,5105370.193784151,3241898.919855981
2017-12-05,4842359.874545301,4839111.327394703,5091373.65281795,3227230.2973729833
2017-12-06,4855376.610609521,4852206.044188259,5104373.66637217,3222029.6039471934
2017-12-07,4867093.306456487,4863777.366576586,5118301.365140248,3231897.5863448465
2017-12-08,4915567.470090665,4912256.991462921,5172371.672494991,3248699.8266435526
2017-12-11,4902206.483357138,4898967.709430086,5162204.318700543,3256034.1378850513
2017-12-12,4914956.977611606,4911607.828532232,5171251.02388795,3272969.72929724
2017-12-13,4959912.972743742,4956566.296791472,5222325.061081009,3284437.9250566745
2017-12-14,4927460.407549745,4923974.010058905,5181623.48566615,3274703.2937725033
2017-12-15,4942908.327286926,4939433.896028806,5204179.861924434,3283771.1694892654
2017-12-18,4964766.588134032,4961162.760581914,5230405.873755164,3304307.2409654623
2017-12-19,4959956.6634489745,4956239.054616836,5227077.751006667,3299106.5475396723
2017-12-20,4958918.562981013,4955112.059118216,5229354.4134626575,3294705.960794773
2017-12-21,4944813.182450561,4940993.523147822,5219420.647599229,3302573.676490199
2017-12-22,4928171.378593583,4924267.463238655,5204043.737822096,3299106.5475396723
2017-12-26,4924921.369240023,4920886.952631216,5202599.83076253,3297106.280837445
2017-12-27,4943997.582830117,4940029.902572587,5222852.027557052,3300173.3564475263
2017-12-28,4970948.801879826,4967090.395381471,5251336.635342602,3308841.1788238436
2017-12-29,4935023.743873658,4931095.234185386,5214929.008887117,3298839.8453127085
2018-01-02,4950923.468007636,4947070.961050225,5228584.640368914,3307374.316575544
2018-01-03,4975047.2192730345,4971220.424673851,5254065.935488554,3319775.9701293507
2018-01-04,4995004.040049241,4991170.045110925,5279198.431456371,3341778.903853847
